bieming,daoyan,movie_name,ranking,score,score_num,url
安东尼·霍普金斯的顶级表演。,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...",沉默的羔羊,70,8.7,348300,https://movie.douban.com/subject/1293544/
视觉革命。,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...",黑客帝国,71,8.8,276213,https://movie.douban.com/subject/1291843/
美利坚精神输出大片No1.,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...",拯救大兵瑞恩,72,8.8,233260,https://movie.douban.com/subject/1292849/
人的命运被自己瞬间的抉择改变。,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...",蝴蝶效应,73,8.7,376013,https://movie.douban.com/subject/1292343/
美丽无罪。,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...",西西里的美丽传说,74,8.7,340833,https://movie.douban.com/subject/1292402/
你是我最好的朋友，你是我唯一的朋友 。,"
                            导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...",玛丽和马克思,75,8.9,230329,https://movie.douban.com/subject/3072124/
人生中应该拥有这样的一段豁然开朗。,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...",心灵捕手,76,8.7,265615,https://movie.douban.com/subject/1292656/
爱情纠缠，男女一致。,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...",春光乍泄,77,8.8,240567,https://movie.douban.com/subject/1292679/
人与自然的战争史诗。,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...",幽灵公主,78,8.8,230628,https://movie.douban.com/subject/1297359/
你给我翻译翻译，神马叫做TMD的惊喜。,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...",让子弹飞,79,8.7,612255,https://movie.douban.com/subject/3742360/
深入内心的恐怖，出人意料的结局。,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...",第六感,80,8.8,230569,https://movie.douban.com/subject/1297630/
一场华丽的意淫。,"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao",阳光灿烂的日子,81,8.7,265232,https://movie.douban.com/subject/1291875/
经典之作，历久弥新。,"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...",大闹天宫,82,9.2,95661,https://movie.douban.com/subject/1418019/
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...",大鱼,83,8.7,247612,https://movie.douban.com/subject/1291545/
寂寞没有期限。,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...",重庆森林,84,8.6,322323,https://movie.douban.com/subject/1291999/
百看不厌。 ,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...",射雕英雄传之东成西就,85,8.7,270332,https://movie.douban.com/subject/1316510/
